CandidateName,EnglishCandidateName,DistrictName,EnglishDistrictName,ConstName,PowerSearchQuery
अस्‍मिन घिमिरे,Ashmin Ghimire,चितवन,chitwan,2,"(""अस्‍मिन घिमिरे"" OR ""Ashmin Ghimire"") (""chitwan"" OR ""constituency 2"" OR ""निर्वाचन"" OR ""election 2082"" OR ""Nepal election"") since:2025-09-05"
इन्द्र बहादुर स्याङतान,Indra Bahadur Syangtan,चितवन,chitwan,2,"(""इन्द्र बहादुर स्याङतान"" OR ""Indra Bahadur Syangtan"") (""chitwan"" OR ""constituency 2"" OR ""निर्वाचन"" OR ""election 2082"" OR ""Nepal election"") since:2025-09-05"
ऋषा गोले,Risha Gole,चितवन,chitwan,2,"(""ऋषा गोले"" OR ""Risha Gole"") (""chitwan"" OR ""constituency 2"" OR ""निर्वाचन"" OR ""election 2082"" OR ""Nepal election"") since:2025-09-05"
कमान सिंह चौधरी,Kaman Singh Chaudhary,चितवन,chitwan,2,"(""कमान सिंह चौधरी"" OR ""Kaman Singh Chaudhary"") (""chitwan"" OR ""constituency 2"" OR ""निर्वाचन"" OR ""election 2082"" OR ""Nepal election"") since:2025-09-05"
कृष्ण प्रसाद चापागाई,Krishna Prasad Chapagai,चितवन,chitwan,2,"(""कृष्ण प्रसाद चापागाई"" OR ""Krishna Prasad Chapagai"") (""chitwan"" OR ""constituency 2"" OR ""निर्वाचन"" OR ""election 2082"" OR ""Nepal election"") since:2025-09-05"
जगदिश्वर अधिकारी,Jagadishwar Adhikari,चितवन,chitwan,2,"(""जगदिश्वर अधिकारी"" OR ""Jagadishwar Adhikari"") (""chitwan"" OR ""constituency 2"" OR ""निर्वाचन"" OR ""election 2082"" OR ""Nepal election"") since:2025-09-05"
दिर्शना कुमारी शाही,Dirshana Kumari Shahi,चितवन,chitwan,2,"(""दिर्शना कुमारी शाही"" OR ""Dirshana Kumari Shahi"") (""chitwan"" OR ""constituency 2"" OR ""निर्वाचन"" OR ""election 2082"" OR ""Nepal election"") since:2025-09-05"
देवी कुमारी मगर,Devi Kumari Magar,चितवन,chitwan,2,"(""देवी कुमारी मगर"" OR ""Devi Kumari Magar"") (""chitwan"" OR ""constituency 2"" OR ""निर्वाचन"" OR ""election 2082"" OR ""Nepal election"") since:2025-09-05"
देवी शर्मा,Devi Sharma,चितवन,chitwan,2,"(""देवी शर्मा"" OR ""Devi Sharma"") (""chitwan"" OR ""constituency 2"" OR ""निर्वाचन"" OR ""election 2082"" OR ""Nepal election"") since:2025-09-05"
नि.कुमार पाख्रीन,Ni. Kumar Pakhrin,चितवन,chitwan,2,"(""नि.कुमार पाख्रीन"" OR ""Ni. Kumar Pakhrin"") (""chitwan"" OR ""constituency 2"" OR ""निर्वाचन"" OR ""election 2082"" OR ""Nepal election"") since:2025-09-05"
निर्मला कुमारी ठाकुर,Nirmala Kumari Thakur,चितवन,chitwan,2,"(""निर्मला कुमारी ठाकुर"" OR ""Nirmala Kumari Thakur"") (""chitwan"" OR ""constituency 2"" OR ""निर्वाचन"" OR ""election 2082"" OR ""Nepal election"") since:2025-09-05"
प्रकाश बहादुर पाण्‍डे,Prakash Bahadur Pandey,चितवन,chitwan,2,"(""प्रकाश बहादुर पाण्‍डे"" OR ""Prakash Bahadur Pandey"") (""chitwan"" OR ""constituency 2"" OR ""निर्वाचन"" OR ""election 2082"" OR ""Nepal election"") since:2025-09-05"
प्रताप गुरुङ्ग,Pratap Gurung,चितवन,chitwan,2,"(""प्रताप गुरुङ्ग"" OR ""Pratap Gurung"") (""chitwan"" OR ""constituency 2"" OR ""निर्वाचन"" OR ""election 2082"" OR ""Nepal election"") since:2025-09-05"
प्रताप सिंह तमाङ्ग,Pratap Singh Tamang,चितवन,chitwan,2,"(""प्रताप सिंह तमाङ्ग"" OR ""Pratap Singh Tamang"") (""chitwan"" OR ""constituency 2"" OR ""निर्वाचन"" OR ""election 2082"" OR ""Nepal election"") since:2025-09-05"
प्रविन सापकोटा,Pravin Sapkota,चितवन,chitwan,2,"(""प्रविन सापकोटा"" OR ""Pravin Sapkota"") (""chitwan"" OR ""constituency 2"" OR ""निर्वाचन"" OR ""election 2082"" OR ""Nepal election"") since:2025-09-05"
मिना कुमारी खरेल,Mina Kumari Kharel,चितवन,chitwan,2,"(""मिना कुमारी खरेल"" OR ""Mina Kumari Kharel"") (""chitwan"" OR ""constituency 2"" OR ""निर्वाचन"" OR ""election 2082"" OR ""Nepal election"") since:2025-09-05"
मिलन थापा मगर,Milan Thapa Magar,चितवन,chitwan,2,"(""मिलन थापा मगर"" OR ""Milan Thapa Magar"") (""chitwan"" OR ""constituency 2"" OR ""निर्वाचन"" OR ""election 2082"" OR ""Nepal election"") since:2025-09-05"
रवि कुमाल,Rabi Kumal,चितवन,chitwan,2,"(""रवि कुमाल"" OR ""Rabi Kumal"") (""chitwan"" OR ""constituency 2"" OR ""निर्वाचन"" OR ""election 2082"" OR ""Nepal election"") since:2025-09-05"
रवि लामिछाने,Rabi Lamichhane,चितवन,chitwan,2,"(""रवि लामिछाने"" OR ""Rabi Lamichhane"" OR ""Rabi dai"" OR ""रबि लामिछाने"" OR ""RSP chairman Rabi"") (""chitwan"" OR ""constituency 2"" OR ""निर्वाचन"" OR ""election 2082"" OR ""Nepal election"") since:2025-09-05"
शंकु प्रसाद जैसी,Shanku Prasad Jaisi,चितवन,chitwan,2,"(""शंकु प्रसाद जैसी"" OR ""Shanku Prasad Jaisi"") (""chitwan"" OR ""constituency 2"" OR ""निर्वाचन"" OR ""election 2082"" OR ""Nepal election"") since:2025-09-05"
शक्ति राज गुरुङ,Shakti Raj Gurung,चितवन,chitwan,2,"(""शक्ति राज गुरुङ"" OR ""Shakti Raj Gurung"") (""chitwan"" OR ""constituency 2"" OR ""निर्वाचन"" OR ""election 2082"" OR ""Nepal election"") since:2025-09-05"
शोभा बासुकला,Shobha Basukala,चितवन,chitwan,2,"(""शोभा बासुकला"" OR ""Shobha Basukala"") (""chitwan"" OR ""constituency 2"" OR ""निर्वाचन"" OR ""election 2082"" OR ""Nepal election"") since:2025-09-05"
सुवास महतो,Subas Mahato,चितवन,chitwan,2,"(""सुवास महतो"" OR ""Subas Mahato"") (""chitwan"" OR ""constituency 2"" OR ""निर्वाचन"" OR ""election 2082"" OR ""Nepal election"") since:2025-09-05"
आकाश राना मगर,Akash Rana Magar,गोरखा,gorkha,1,"(""आकाश राना मगर"" OR ""Akash Rana Magar"") (""gorkha"" OR ""constituency 1"" OR ""निर्वाचन"" OR ""election 2082"" OR ""Nepal election"") since:2025-09-05"
कविता भट्टराई,Kavita Bhattarai,गोरखा,gorkha,1,"(""कविता भट्टराई"" OR ""Kavita Bhattarai"") (""gorkha"" OR ""constituency 1"" OR ""निर्वाचन"" OR ""election 2082"" OR ""Nepal election"") since:2025-09-05"
केदार मणी खनाल,Kedar Mani Khanal,गोरखा,gorkha,1,"(""केदार मणी खनाल"" OR ""Kedar Mani Khanal"") (""gorkha"" OR ""constituency 1"" OR ""निर्वाचन"" OR ""election 2082"" OR ""Nepal election"") since:2025-09-05"
जित बहादुर घले,Jit Bahadur Ghale,गोरखा,gorkha,1,"(""जित बहादुर घले"" OR ""Jit Bahadur Ghale"") (""gorkha"" OR ""constituency 1"" OR ""निर्वाचन"" OR ""election 2082"" OR ""Nepal election"") since:2025-09-05"
देव बहादुर थापा,Dev Bahadur Thapa,गोरखा,gorkha,1,"(""देव बहादुर थापा"" OR ""Dev Bahadur Thapa"") (""gorkha"" OR ""constituency 1"" OR ""निर्वाचन"" OR ""election 2082"" OR ""Nepal election"") since:2025-09-05"
प्रेम कुमार खत्री,Prem Kumar Khatri,गोरखा,gorkha,1,"(""प्रेम कुमार खत्री"" OR ""Prem Kumar Khatri"") (""gorkha"" OR ""constituency 1"" OR ""निर्वाचन"" OR ""election 2082"" OR ""Nepal election"") since:2025-09-05"
मनु कुमारी श्रेष्‍ठ,Manu Kumari Shrestha,गोरखा,gorkha,1,"(""मनु कुमारी श्रेष्‍ठ"" OR ""Manu Kumari Shrestha"") (""gorkha"" OR ""constituency 1"" OR ""निर्वाचन"" OR ""election 2082"" OR ""Nepal election"") since:2025-09-05"
राम चन्द्र लामिछाने,Ram Chandra Lamichhane,गोरखा,gorkha,1,"(""राम चन्द्र लामिछाने"" OR ""Ram Chandra Lamichhane"") (""gorkha"" OR ""constituency 1"" OR ""निर्वाचन"" OR ""election 2082"" OR ""Nepal election"") since:2025-09-05"
रामकाजी राना मगर,Ramkaji Rana Magar,गोरखा,gorkha,1,"(""रामकाजी राना मगर"" OR ""Ramkaji Rana Magar"") (""gorkha"" OR ""constituency 1"" OR ""निर्वाचन"" OR ""election 2082"" OR ""Nepal election"") since:2025-09-05"
विष्णु प्रसाद रिजाल,Vishnu Prasad Rijal,गोरखा,gorkha,1,"(""विष्णु प्रसाद रिजाल"" OR ""Vishnu Prasad Rijal"") (""gorkha"" OR ""constituency 1"" OR ""निर्वाचन"" OR ""election 2082"" OR ""Nepal election"") since:2025-09-05"
सुधन गुरुङ,Sudhan Gurung,गोरखा,gorkha,1,"(""सुधन गुरुङ"" OR ""Sudhan Gurung"") (""gorkha"" OR ""constituency 1"" OR ""निर्वाचन"" OR ""election 2082"" OR ""Nepal election"") since:2025-09-05"
हरि राज अधिकारी,Hari Raj Adhikari,गोरखा,gorkha,1,"(""हरि राज अधिकारी"" OR ""Hari Raj Adhikari"") (""gorkha"" OR ""constituency 1"" OR ""निर्वाचन"" OR ""election 2082"" OR ""Nepal election"") since:2025-09-05"
अमृत रसाइलि,Amrit Rsaili,झापा,jhapa,5,"(""अमृत रसाइलि"" OR ""Amrit Rsaili"") (""jhapa"" OR ""constituency 5"" OR ""निर्वाचन"" OR ""election 2082"" OR ""Nepal election"") since:2025-09-05"
अमृतलाल महतो,Amritlal Mahato,झापा,jhapa,5,"(""अमृतलाल महतो"" OR ""Amritlal Mahato"") (""jhapa"" OR ""constituency 5"" OR ""निर्वाचन"" OR ""election 2082"" OR ""Nepal election"") since:2025-09-05"
अर्जुन सापकोटा,Arjun Sapkota,झापा,jhapa,5,"(""अर्जुन सापकोटा"" OR ""Arjun Sapkota"") (""jhapa"" OR ""constituency 5"" OR ""निर्वाचन"" OR ""election 2082"" OR ""Nepal election"") since:2025-09-05"
के.पी शर्मा ओली,K.P. Sharma Oli,झापा,jhapa,5,"(""के.पी शर्मा ओली"" OR ""K.P. Sharma Oli"" OR ""KP Oli"" OR ""ओली"" OR ""केपी ओली"") (""jhapa"" OR ""constituency 5"" OR ""निर्वाचन"" OR ""election 2082"" OR ""Nepal election"") since:2025-09-05"
खेमनाथ शिवाकोटी,Khemnath Shivakoti,झापा,jhapa,5,"(""खेमनाथ शिवाकोटी"" OR ""Khemnath Shivakoti"") (""jhapa"" OR ""constituency 5"" OR ""निर्वाचन"" OR ""election 2082"" OR ""Nepal election"") since:2025-09-05"
डम्वर शाहु,Dambar Shahu,झापा,jhapa,5,"(""डम्वर शाहु"" OR ""Dambar Shahu"") (""jhapa"" OR ""constituency 5"" OR ""निर्वाचन"" OR ""election 2082"" OR ""Nepal election"") since:2025-09-05"
धर्मराज गुरागाई,Dharmraj Guragai,झापा,jhapa,5,"(""धर्मराज गुरागाई"" OR ""Dharmraj Guragai"") (""jhapa"" OR ""constituency 5"" OR ""निर्वाचन"" OR ""election 2082"" OR ""Nepal election"") since:2025-09-05"
धिरेन सुब्बा,Dhiren Subba,झापा,jhapa,5,"(""धिरेन सुब्बा"" OR ""Dhiren Subba"") (""jhapa"" OR ""constituency 5"" OR ""निर्वाचन"" OR ""election 2082"" OR ""Nepal election"") since:2025-09-05"
पदम बहादुर जवेगु,Padam Bahadur Jvegu,झापा,jhapa,5,"(""पदम बहादुर जवेगु"" OR ""Padam Bahadur Jvegu"") (""jhapa"" OR ""constituency 5"" OR ""निर्वाचन"" OR ""election 2082"" OR ""Nepal election"") since:2025-09-05"
पुस्कर खतिवडा,Puskar Khatiwada,झापा,jhapa,5,"(""पुस्कर खतिवडा"" OR ""Puskar Khatiwada"") (""jhapa"" OR ""constituency 5"" OR ""निर्वाचन"" OR ""election 2082"" OR ""Nepal election"") since:2025-09-05"
प्रकाश नेपाल,Prakash Nepal,झापा,jhapa,5,"(""प्रकाश नेपाल"" OR ""Prakash Nepal"") (""jhapa"" OR ""constituency 5"" OR ""निर्वाचन"" OR ""election 2082"" OR ""Nepal election"") since:2025-09-05"
मंधरा चिमरिया,Mandhara Chimariya,झापा,jhapa,5,"(""मंधरा चिमरिया"" OR ""Mandhara Chimariya"") (""jhapa"" OR ""constituency 5"" OR ""निर्वाचन"" OR ""election 2082"" OR ""Nepal election"") since:2025-09-05"
मातृका भट्टराई,Matrika Bhattarai,झापा,jhapa,5,"(""मातृका भट्टराई"" OR ""Matrika Bhattarai"") (""jhapa"" OR ""constituency 5"" OR ""निर्वाचन"" OR ""election 2082"" OR ""Nepal election"") since:2025-09-05"
रञ्जना गौतम,Ranjana Gautam,झापा,jhapa,5,"(""रञ्जना गौतम"" OR ""Ranjana Gautam"") (""jhapa"" OR ""constituency 5"" OR ""निर्वाचन"" OR ""election 2082"" OR ""Nepal election"") since:2025-09-05"
रन्जित तामाङ,Ranjit Tamang,झापा,jhapa,5,"(""रन्जित तामाङ"" OR ""Ranjit Tamang"") (""jhapa"" OR ""constituency 5"" OR ""निर्वाचन"" OR ""election 2082"" OR ""Nepal election"") since:2025-09-05"
लक्ष्मी प्रसाद संग्रौला,Lakshmi Prasad Sangraula,झापा,jhapa,5,"(""लक्ष्मी प्रसाद संग्रौला"" OR ""Lakshmi Prasad Sangraula"") (""jhapa"" OR ""constituency 5"" OR ""निर्वाचन"" OR ""election 2082"" OR ""Nepal election"") since:2025-09-05"
वालेन्द्र शाह,Balendra Shah,झापा,jhapa,5,"(""वालेन्द्र शाह"" OR ""Balendra Shah"" OR ""Balen Shah"" OR ""Balen"" OR ""बालेन शाह"") (""jhapa"" OR ""constituency 5"" OR ""निर्वाचन"" OR ""election 2082"" OR ""Nepal election"") since:2025-09-05"
विपुल गुरागाई,Vipul Guragai,झापा,jhapa,5,"(""विपुल गुरागाई"" OR ""Vipul Guragai"") (""jhapa"" OR ""constituency 5"" OR ""निर्वाचन"" OR ""election 2082"" OR ""Nepal election"") since:2025-09-05"
शोभा भण्डारी,Shobha Bhandari,झापा,jhapa,5,"(""शोभा भण्डारी"" OR ""Shobha Bhandari"") (""jhapa"" OR ""constituency 5"" OR ""निर्वाचन"" OR ""election 2082"" OR ""Nepal election"") since:2025-09-05"
संजय राई,Sanjay Rai,झापा,jhapa,5,"(""संजय राई"" OR ""Sanjay Rai"") (""jhapa"" OR ""constituency 5"" OR ""निर्वाचन"" OR ""election 2082"" OR ""Nepal election"") since:2025-09-05"
समिर तामाङ्ग,Samir Tamang,झापा,jhapa,5,"(""समिर तामाङ्ग"" OR ""Samir Tamang"") (""jhapa"" OR ""constituency 5"" OR ""निर्वाचन"" OR ""election 2082"" OR ""Nepal election"") since:2025-09-05"
सविन राई,Savin Rai,झापा,jhapa,5,"(""सविन राई"" OR ""Savin Rai"") (""jhapa"" OR ""constituency 5"" OR ""निर्वाचन"" OR ""election 2082"" OR ""Nepal election"") since:2025-09-05"
सान बहादुर मेचे,San Bahadur Meche,झापा,jhapa,5,"(""सान बहादुर मेचे"" OR ""San Bahadur Meche"") (""jhapa"" OR ""constituency 5"" OR ""निर्वाचन"" OR ""election 2082"" OR ""Nepal election"") since:2025-09-05"
सुशान्त साम्पङ राइ,Sushant Sampang Rai,झापा,jhapa,5,"(""सुशान्त साम्पङ राइ"" OR ""Sushant Sampang Rai"") (""jhapa"" OR ""constituency 5"" OR ""निर्वाचन"" OR ""election 2082"" OR ""Nepal election"") since:2025-09-05"
कुल बहादुर लामा,Kul Bahadur Lama,काठमाडौं,kathmandu,3,"(""कुल बहादुर लामा"" OR ""Kul Bahadur Lama"") (""kathmandu"" OR ""constituency 3"" OR ""निर्वाचन"" OR ""election 2082"" OR ""Nepal election"") since:2025-09-05"
कुलमान घिसिङ्,Kulman Ghising,काठमाडौं,kathmandu,3,"(""कुलमान घिसिङ्"" OR ""Kulman Ghising"") (""kathmandu"" OR ""constituency 3"" OR ""निर्वाचन"" OR ""election 2082"" OR ""Nepal election"") since:2025-09-05"
केशव नेपाल,Keshav Nepal,काठमाडौं,kathmandu,3,"(""केशव नेपाल"" OR ""Keshav Nepal"") (""kathmandu"" OR ""constituency 3"" OR ""निर्वाचन"" OR ""election 2082"" OR ""Nepal election"") since:2025-09-05"
जित बहादुर तामाङ,Jit Bahadur Tamang,काठमाडौं,kathmandu,3,"(""जित बहादुर तामाङ"" OR ""Jit Bahadur Tamang"") (""kathmandu"" OR ""constituency 3"" OR ""निर्वाचन"" OR ""election 2082"" OR ""Nepal election"") since:2025-09-05"
निरज लामा,Niraj Lama,काठमाडौं,kathmandu,3,"(""निरज लामा"" OR ""Niraj Lama"") (""kathmandu"" OR ""constituency 3"" OR ""निर्वाचन"" OR ""election 2082"" OR ""Nepal election"") since:2025-09-05"
प्रदिप काफ्ले,Pradip Kaphle,काठमाडौं,kathmandu,3,"(""प्रदिप काफ्ले"" OR ""Pradip Kaphle"") (""kathmandu"" OR ""constituency 3"" OR ""निर्वाचन"" OR ""election 2082"" OR ""Nepal election"") since:2025-09-05"
प्रनिल ध्वज कार्की,Pranil Dhwaj Karki,काठमाडौं,kathmandu,3,"(""प्रनिल ध्वज कार्की"" OR ""Pranil Dhwaj Karki"") (""kathmandu"" OR ""constituency 3"" OR ""निर्वाचन"" OR ""election 2082"" OR ""Nepal election"") since:2025-09-05"
प्रेम छिरी शेर्पा,Prem Chhiri Sherpa,काठमाडौं,kathmandu,3,"(""प्रेम छिरी शेर्पा"" OR ""Prem Chhiri Sherpa"") (""kathmandu"" OR ""constituency 3"" OR ""निर्वाचन"" OR ""election 2082"" OR ""Nepal election"") since:2025-09-05"
बाबु काजी कार्की,Babu Kaji Karki,काठमाडौं,kathmandu,3,"(""बाबु काजी कार्की"" OR ""Babu Kaji Karki"") (""kathmandu"" OR ""constituency 3"" OR ""निर्वाचन"" OR ""election 2082"" OR ""Nepal election"") since:2025-09-05"
मदन श्रेष्ठ,Madan Shrestha,काठमाडौं,kathmandu,3,"(""मदन श्रेष्ठ"" OR ""Madan Shrestha"") (""kathmandu"" OR ""constituency 3"" OR ""निर्वाचन"" OR ""election 2082"" OR ""Nepal election"") since:2025-09-05"
रमेश अर्याल,Ramesh Aryal,काठमाडौं,kathmandu,3,"(""रमेश अर्याल"" OR ""Ramesh Aryal"") (""kathmandu"" OR ""constituency 3"" OR ""निर्वाचन"" OR ""election 2082"" OR ""Nepal election"") since:2025-09-05"
राजु नाथ पाण्डे,Raju Nath Pandey,काठमाडौं,kathmandu,3,"(""राजु नाथ पाण्डे"" OR ""Raju Nath Pandey"") (""kathmandu"" OR ""constituency 3"" OR ""निर्वाचन"" OR ""election 2082"" OR ""Nepal election"") since:2025-09-05"
राम कृष्‍ण पुजारी,Ram Krishna Pujari,काठमाडौं,kathmandu,3,"(""राम कृष्‍ण पुजारी"" OR ""Ram Krishna Pujari"") (""kathmandu"" OR ""constituency 3"" OR ""निर्वाचन"" OR ""election 2082"" OR ""Nepal election"") since:2025-09-05"
रामेश्‍वर फुयाल,Rameshwar Phuyal,काठमाडौं,kathmandu,3,"(""रामेश्‍वर फुयाल"" OR ""Rameshwar Phuyal"") (""kathmandu"" OR ""constituency 3"" OR ""निर्वाचन"" OR ""election 2082"" OR ""Nepal election"") since:2025-09-05"
रुप सागर देवी,Rup Sagar Devi,काठमाडौं,kathmandu,3,"(""रुप सागर देवी"" OR ""Rup Sagar Devi"") (""kathmandu"" OR ""constituency 3"" OR ""निर्वाचन"" OR ""election 2082"" OR ""Nepal election"") since:2025-09-05"
शेखर अर्याल,Shekhar Aryal,काठमाडौं,kathmandu,3,"(""शेखर अर्याल"" OR ""Shekhar Aryal"") (""kathmandu"" OR ""constituency 3"" OR ""निर्वाचन"" OR ""election 2082"" OR ""Nepal election"") since:2025-09-05"
शेखर नाथ आचार्य,Shekhar Nath Acharya,काठमाडौं,kathmandu,3,"(""शेखर नाथ आचार्य"" OR ""Shekhar Nath Acharya"") (""kathmandu"" OR ""constituency 3"" OR ""निर्वाचन"" OR ""election 2082"" OR ""Nepal election"") since:2025-09-05"
श्रीकृष्‍ण वराल,Shrikrishna Baral,काठमाडौं,kathmandu,3,"(""श्रीकृष्‍ण वराल"" OR ""Shrikrishna Baral"") (""kathmandu"" OR ""constituency 3"" OR ""निर्वाचन"" OR ""election 2082"" OR ""Nepal election"") since:2025-09-05"
सज्‍जन आचार्य,Sajjan Acharya,काठमाडौं,kathmandu,3,"(""सज्‍जन आचार्य"" OR ""Sajjan Acharya"") (""kathmandu"" OR ""constituency 3"" OR ""निर्वाचन"" OR ""election 2082"" OR ""Nepal election"") since:2025-09-05"
सुन्दर राम बोहरा,Sundar Ram Bohra,काठमाडौं,kathmandu,3,"(""सुन्दर राम बोहरा"" OR ""Sundar Ram Bohra"") (""kathmandu"" OR ""constituency 3"" OR ""निर्वाचन"" OR ""election 2082"" OR ""Nepal election"") since:2025-09-05"
सुरेश कुमार ढुङ्गाना,Suresh Kumar Dhunggana,काठमाडौं,kathmandu,3,"(""सुरेश कुमार ढुङ्गाना"" OR ""Suresh Kumar Dhunggana"") (""kathmandu"" OR ""constituency 3"" OR ""निर्वाचन"" OR ""election 2082"" OR ""Nepal election"") since:2025-09-05"
सुवाश घिसीङ,Suvash Ghising,काठमाडौं,kathmandu,3,"(""सुवाश घिसीङ"" OR ""Suvash Ghising"") (""kathmandu"" OR ""constituency 3"" OR ""निर्वाचन"" OR ""election 2082"" OR ""Nepal election"") since:2025-09-05"
अमित थापा,Amit Thapa,काठमाडौं,kathmandu,5,"(""अमित थापा"" OR ""Amit Thapa"") (""kathmandu"" OR ""constituency 5"" OR ""निर्वाचन"" OR ""election 2082"" OR ""Nepal election"") since:2025-09-05"
अशोक विक्रम जि सी,Ashok Vikram Ji Si,काठमाडौं,kathmandu,5,"(""अशोक विक्रम जि सी"" OR ""Ashok Vikram Ji Si"") (""kathmandu"" OR ""constituency 5"" OR ""निर्वाचन"" OR ""election 2082"" OR ""Nepal election"") since:2025-09-05"
इश्वर पोखरेल,Ishwar Pokharel,काठमाडौं,kathmandu,5,"(""इश्वर पोखरेल"" OR ""Ishwar Pokharel"") (""kathmandu"" OR ""constituency 5"" OR ""निर्वाचन"" OR ""election 2082"" OR ""Nepal election"") since:2025-09-05"
कमल थापा,Kamal Thapa,काठमाडौं,kathmandu,5,"(""कमल थापा"" OR ""Kamal Thapa"") (""kathmandu"" OR ""constituency 5"" OR ""निर्वाचन"" OR ""election 2082"" OR ""Nepal election"") since:2025-09-05"
कल्पना शर्मा,Kalpana Sharma,काठमाडौं,kathmandu,5,"(""कल्पना शर्मा"" OR ""Kalpana Sharma"") (""kathmandu"" OR ""constituency 5"" OR ""निर्वाचन"" OR ""election 2082"" OR ""Nepal election"") since:2025-09-05"
